,Edad,Fecha,Total vacunados
613,95,2020-12-29,0.0
614,96,2020-12-29,0.0
615,97,2020-12-29,0.0
616,98,2020-12-29,0.0
617,99,2020-12-29,0.0
618,100,2020-12-29,0.0
619,101,2020-12-29,0.0
620,102,2020-12-29,0.0
621,103,2020-12-29,0.0
622,104,2020-12-29,0.0
623,105,2020-12-29,0.0
624,106,2020-12-29,0.0
625,107,2020-12-29,0.0
626,108,2020-12-29,0.0
627,109,2020-12-29,0.0
628,110,2020-12-29,0.0
629,111,2020-12-29,0.0
630,112,2020-12-29,0.0
631,116,2020-12-29,0.0
632,120,2020-12-29,0.0
633,121,2020-12-29,0.0
634,124,2020-12-29,0.0
635,221,2020-12-29,0.0
636,12,2020-12-30,0.0
637,13,2020-12-30,0.0
638,14,2020-12-30,0.0
639,15,2020-12-30,0.0
640,16,2020-12-30,0.0
641,17,2020-12-30,0.0
642,18,2020-12-30,0.0
643,19,2020-12-30,0.0
644,20,2020-12-30,0.0
645,21,2020-12-30,0.0
646,22,2020-12-30,0.0
647,23,2020-12-30,0.0
648,24,2020-12-30,0.0
649,25,2020-12-30,0.0
650,26,2020-12-30,0.0
651,27,2020-12-30,0.0
652,28,2020-12-30,0.0
653,29,2020-12-30,0.0
654,30,2020-12-30,0.0
655,31,2020-12-30,0.0
656,32,2020-12-30,0.0
657,33,2020-12-30,0.0
658,34,2020-12-30,0.0
659,35,2020-12-30,0.0
660,36,2020-12-30,0.0
661,37,2020-12-30,0.0
662,38,2020-12-30,0.0
663,39,2020-12-30,0.0
664,40,2020-12-30,0.0
665,41,2020-12-30,0.0
666,42,2020-12-30,0.0
667,43,2020-12-30,0.0
668,44,2020-12-30,0.0
669,45,2020-12-30,0.0
670,46,2020-12-30,0.0
671,47,2020-12-30,0.0
672,48,2020-12-30,0.0
673,49,2020-12-30,0.0
674,50,2020-12-30,0.0
675,51,2020-12-30,0.0
676,52,2020-12-30,0.0
677,53,2020-12-30,0.0
678,54,2020-12-30,0.0
679,55,2020-12-30,0.0
680,56,2020-12-30,0.0
681,57,2020-12-30,0.0
682,58,2020-12-30,0.0
683,59,2020-12-30,0.0
684,60,2020-12-30,0.0
685,61,2020-12-30,0.0
686,62,2020-12-30,0.0
687,63,2020-12-30,0.0
688,64,2020-12-30,0.0
689,65,2020-12-30,0.0
690,66,2020-12-30,0.0
691,67,2020-12-30,0.0
692,68,2020-12-30,0.0
693,69,2020-12-30,0.0
694,70,2020-12-30,0.0
695,71,2020-12-30,0.0
696,72,2020-12-30,0.0
697,73,2020-12-30,0.0
698,74,2020-12-30,0.0
699,75,2020-12-30,0.0
700,76,2020-12-30,0.0
701,77,2020-12-30,0.0
702,78,2020-12-30,0.0
703,79,2020-12-30,0.0
704,80,2020-12-30,0.0
705,81,2020-12-30,0.0
706,82,2020-12-30,0.0
707,83,2020-12-30,0.0
708,84,2020-12-30,0.0
709,85,2020-12-30,0.0
710,86,2020-12-30,0.0
711,87,2020-12-30,0.0
712,88,2020-12-30,0.0
713,89,2020-12-30,0.0
714,90,2020-12-30,0.0
715,91,2020-12-30,0.0
716,92,2020-12-30,0.0
717,93,2020-12-30,0.0
718,94,2020-12-30,0.0
719,95,2020-12-30,0.0
720,96,2020-12-30,0.0
721,97,2020-12-30,0.0
722,98,2020-12-30,0.0
723,99,2020-12-30,0.0
724,100,2020-12-30,0.0
725,101,2020-12-30,0.0
726,102,2020-12-30,0.0
727,103,2020-12-30,0.0
728,104,2020-12-30,0.0
729,105,2020-12-30,0.0
730,106,2020-12-30,0.0
731,107,2020-12-30,0.0
732,108,2020-12-30,0.0
733,109,2020-12-30,0.0
734,110,2020-12-30,0.0
735,111,2020-12-30,0.0
736,112,2020-12-30,0.0
737,116,2020-12-30,0.0
738,120,2020-12-30,0.0
739,121,2020-12-30,0.0
740,124,2020-12-30,0.0
741,221,2020-12-30,0.0
742,12,2020-12-31,0.0
743,13,2020-12-31,0.0
744,14,2020-12-31,0.0
745,15,2020-12-31,0.0
746,16,2020-12-31,0.0
747,17,2020-12-31,0.0
748,18,2020-12-31,0.0
749,19,2020-12-31,0.0
750,20,2020-12-31,0.0
751,21,2020-12-31,0.0
752,22,2020-12-31,0.0
753,23,2020-12-31,0.0
754,24,2020-12-31,0.0
755,25,2020-12-31,0.0
756,26,2020-12-31,0.0
757,27,2020-12-31,0.0
758,28,2020-12-31,0.0
759,29,2020-12-31,0.0
760,30,2020-12-31,0.0
761,31,2020-12-31,0.0
762,32,2020-12-31,0.0
763,33,2020-12-31,0.0
764,34,2020-12-31,0.0
765,35,2020-12-31,0.0
766,36,2020-12-31,0.0
767,37,2020-12-31,0.0
768,38,2020-12-31,0.0
769,39,2020-12-31,0.0
770,40,2020-12-31,0.0
771,41,2020-12-31,0.0
772,42,2020-12-31,0.0
773,43,2020-12-31,0.0
774,44,2020-12-31,0.0
775,45,2020-12-31,0.0
776,46,2020-12-31,0.0
777,47,2020-12-31,0.0
778,48,2020-12-31,0.0
779,49,2020-12-31,0.0
780,50,2020-12-31,0.0
781,51,2020-12-31,0.0
782,52,2020-12-31,0.0
783,53,2020-12-31,0.0
784,54,2020-12-31,0.0
785,55,2020-12-31,0.0
786,56,2020-12-31,0.0
787,57,2020-12-31,0.0
788,58,2020-12-31,0.0
789,59,2020-12-31,0.0
790,60,2020-12-31,0.0
791,61,2020-12-31,0.0
792,62,2020-12-31,0.0
793,63,2020-12-31,0.0
794,64,2020-12-31,0.0
795,65,2020-12-31,0.0
796,66,2020-12-31,0.0
797,67,2020-12-31,0.0
798,68,2020-12-31,0.0
799,69,2020-12-31,0.0
800,70,2020-12-31,0.0
801,71,2020-12-31,0.0
802,72,2020-12-31,0.0
803,73,2020-12-31,0.0
804,74,2020-12-31,0.0
805,75,2020-12-31,0.0
806,76,2020-12-31,0.0
807,77,2020-12-31,0.0
808,78,2020-12-31,0.0
809,79,2020-12-31,0.0
810,80,2020-12-31,0.0
811,81,2020-12-31,0.0
812,82,2020-12-31,0.0
813,83,2020-12-31,0.0
814,84,2020-12-31,0.0
815,85,2020-12-31,0.0
816,86,2020-12-31,0.0
817,87,2020-12-31,0.0
818,88,2020-12-31,0.0
819,89,2020-12-31,0.0
820,90,2020-12-31,0.0
821,91,2020-12-31,0.0
822,92,2020-12-31,0.0
823,93,2020-12-31,0.0
824,94,2020-12-31,0.0
825,95,2020-12-31,0.0
826,96,2020-12-31,0.0
827,97,2020-12-31,0.0
828,98,2020-12-31,0.0
829,99,2020-12-31,0.0
830,100,2020-12-31,0.0
831,101,2020-12-31,0.0
832,102,2020-12-31,0.0
833,103,2020-12-31,0.0
834,104,2020-12-31,0.0
835,105,2020-12-31,0.0
836,106,2020-12-31,0.0
837,107,2020-12-31,0.0
